D,36,23,32,12
C,36,24,36,33
C,36,23,36,29
C,34,25,25,14
C,32,25,35,1
L,47,23,36,4
B,34,25,35,0
B,32,23,33,20
C,34,24,35,98
B,36,25,34,7
B,34,24,34,10
B,34,24,34,1
B,34,25,35,8
C,36,24,35,0
B,34,26,32,10
B,32,23,32,6
C,34,24,34,2
C,32,24,35,7
A,34,24,34,1
D,36,28,40,1
B,34,23,35,7
DD,32,22,32,10
A,32,24,33,1
DDD,40,28,38,4
C,34,27,38,1
D,38,28,40,0
A,33,25,35,0
B,30,25,35,0
E,44,28,36,0
B,34,23,34,414
C,35,23,36,2
C,32,22,35,6
D,38,33,44,2
C,34,25,34,1
C,38,24,35,2
B,34,25,35,0
C,36,26,34,49
C,35,25,34,2
B,32,24,34,8
A,31,24,35,1
B,32,24,34,6
D,36,26,36,1
C,34,24,35,2
C,35,23,36,1
D,36,22,36,8
A,33,22,33,68
B,33,23,34,127
C,34,23,32,10
C,34,23,33,1
DDD,36,27,38,1
D,34,24,34,0
C,34,24,35,7
B,34,24,34,3
D,36,25,36,1
B,34,23,35,15
C,34,23,34,1
C,34,24,35,1
C,36,23,33,48
D,34,26,35,13
D,32,24,34,0
C,35,25,36,2
A,34,24,36,0
B,34,24,34,3
C,35,24,36,1
B,36,26,37,1
D,36,24,35,62
B,34,23,35,4
B,32,23,34,431
B,34,24,34,4
DD,46,26,39,5
D,36,24,34,4
D,34,24,34,1
D,36,27,36,3
D,36,26,34,17
D,36,24,34,0
D,32,24,34,0
C,35,24,34,47
D,32,24,35,5
C,36,25,36,1
C,34,25,35,99
B,34,23,34,54
B,34,24,34,0
A,35,25,36,11
D,36,24,36,1
A,34,25,34,1
DDD,36,23,35,2
C,36,26,35,16
D,36,23,35,9
C,36,23,36,0
B,34,24,35,1
B,33,23,34,41
D,34,23,38,211
B,34,24,34,1
C,36,21,36,8
A,35,23,34,1
DD,34,26,38,1
B,33,24,35,4
C,35,24,34,18
DD,34,24,33,4
A,33,23,33,1
C,34,28,35,1
C,32,25,34,1
C,34,27,39,0
D,34,27,37,746
DD,40,23,36,6
C,34,25,34,5
C,35,24,35,1
B,34,24,34,2
C,38,17,36,32
B,34,23,33,23
C,34,25,34,47
C,34,22,34,27
B,34,22,35,0
B,32,24,33,78
C,34,22,36,3
C,34,24,33,12
B,30,24,34,10
B,32,24,34,25
A,32,28,32,0
D,34,22,33,1
B,32,25,31,1
DD,32,24,30,0
D,35,25,34,1
C,32,24,34,3
D,34,24,34,1
B,34,24,30,7
D,34,23,34,1
A,34,24,34,1
D,36,26,35,13
C,36,24,34,93
A,33,25,33,1
D,34,25,33,104
A,32,24,35,1
A,34,26,34,0
C,36,25,35,1
B,34,24,34,2
B,34,26,36,4
B,34,23,35,40
A,32,23,33,554
G,32,25,32,3
A,30,24,32,200
B,34,24,34,1
B,32,23,33,0
C,32,26,38,1
C,34,25,36,65
D,34,24,34,2
D,34,25,36,5
C,36,24,34,1
C,36,23,36,37
D,40,24,36,8
B,37,29,39,0
B,32,24,34,85
B,32,26,33,27
D,34,22,34,4
B,34,24,34,2
B,32,25,30,12
A,31,24,35,5
B,34,23,34,1
A,32,25,36,0
B,34,24,34,1
B,32,24,36,14
D,32,24,35,6
E,40,24,34,41
B,33,24,35,7
D,36,28,35,11
D,37,22,35,1
C,35,28,34,328
A,33,24,35,1
B,32,24,32,0
D,34,24,34,0
A,32,23,34,2
B,34,24,33,38
D,32,25,36,2
A,33,23,33,0
B,34,24,35,7
B,30,22,33,14
DD,32,25,36,1
C,34,26,36,0
A,32,23,33,2
D,34,24,36,1
D,34,24,36,0
B,34,24,36,6
A,32,25,35,2
B,34,25,34,53
B,32,24,34,1
C,30,23,33,55
D,32,23,35,6
C,32,24,36,1
C,34,25,37,1
D,36,22,32,1
C,34,24,32,1
D,38,28,37,1
B,34,25,34,6
C,32,28,33,1
B,32,24,32,0
D,34,24,34,3
DD,41,26,38,4
B,36,24,34,35
DD,32,24,36,8
A,32,23,33,3
C,34,24,34,43
B,34,25,35,23
C,36,27,35,125
A,32,21,32,2
D,32,22,34,0
B,34,25,35,2
DD,34,22,33,0
D,34,24,33,0
E,34,25,40,1
C,34,24,35,0
C,37,24,37,0
B,32,22,32,30
F,36,24,38,1
C,33,24,36,0
B,34,25,33,26
C,32,25,35,0
B,33,24,34,8
B,36,25,36,9
F,38,26,36,19
EE,42,24,35,2
B,34,25,35,5
C,30,23,33,326
C,34,26,35,21
C,34,24,34,1
C,34,24,34,108
D,36,24,27,1
B,32,24,32,0
A,36,28,32,0
C,34,26,34,2
C,35,24,35,77
C,34,24,35,0
C,34,23,34,3
C,32,24,32,0
B,36,25,36,1
B,32,23,34,4
DD,34,26,36,0
B,34,22,37,42
B,36,25,37,124
B,34,25,35,0
DD,34,26,38,4
C,34,23,35,2
B,30,23,33,15
DD,37,29,36,0
C,34,27,40,6
B,36,24,34,0
C,34,23,34,21
C,34,23,33,190
C,36,24,34,1
B,35,24,35,0
D,38,33,37,1
C,34,26,32,1
A,31,23,34,0
C,36,23,34,1
D,34,22,33,1
C,36,26,36,2
C,34,26,35,13
C,37,23,34,1
A,34,24,36,0
C,36,24,34,21
B,34,24,35,102
C,34,25,34,243
C,36,23,34,1
D,34,26,40,1005
C,34,24,36,1
DD,40,27,36,0
B,34,24,35,1
DD,34,24,35,4
A,31,23,34,1
B,34,27,33,1
B,32,24,37,0
B,34,24,33,8
D,36,26,32,231
D,36,27,35,1
C,36,26,34,2
E,36,23,33,4
C,36,24,38,21
B,34,26,32,50
DD,36,27,36,17
B,36,23,33,26
D,34,25,34,18
B,32,23,34,1
D,34,24,34,1
C,34,23,33,38
D,36,23,35,1
C,36,27,35,35
C,35,25,34,283
B,34,24,35,1
B,32,22,35,4
B,33,23,33,302
C,34,28,38,16
B,34,28,36,2
B,34,22,33,0
A,32,24,33,1
A,32,24,34,1
C,33,25,35,0
B,34,23,36,95
B,32,23,32,156
C,36,26,37,34
C,36,24,36,16
B,34,25,35,2
B,34,26,32,0
B,36,24,36,1
A,34,25,36,2
A,30,24,35,4
B,36,28,36,2
B,34,23,33,8
DD,34,25,41,1
C,32,23,34,1
B,36,24,36,0
D,35,24,35,1
B,34,26,36,2
DD,34,28,35,0
A,32,24,28,0
B,34,23,34,374
C,37,28,35,19
B,34,23,34,1
DD,32,24,35,2
D,36,27,38,1
D,36,24,34,2
C,35,24,34,2
D,36,24,34,0
B,34,25,35,8
C,35,23,34,16
C,34,23,34,2
C,38,24,35,1
B,34,22,35,114
A,32,24,36,0
B,34,26,37,517
B,34,23,33,109
C,37,30,38,2
B,33,22,34,1
DD,32,22,24,7
B,34,30,36,30
D,34,25,38,7
D,36,25,34,19
C,34,24,34,6
C,34,25,35,5
C,36,25,35,1
FF,42,28,32,1
D,42,23,35,4
C,34,24,34,2
C,32,23,34,0
C,32,22,32,30
A,32,25,34,0
B,32,26,34,0
D,38,28,34,47
DD,48,24,36,7
C,34,24,36,35
DD,38,26,36,0
D,34,2,35,12
C,30,24,34,1
B,32,24,32,28
C,34,24,34,2
A,34,26,34,0
B,34,24,36,26
B,34,25,30,16
A,32,24,34,1
C,36,24,35,2
B,32,24,36,5
A,32,23,34,36
